Subject,num_runs,run_numbers,Session
sub-01,2,"01, 02",ses-all
sub-02,2,"01, 02",ses-all
sub-03,2,"01, 02",ses-all
sub-04,2,"01, 02",ses-all
sub-05,2,"01, 02",ses-all
sub-06,2,"01, 02",ses-all
sub-07,2,"01, 02",ses-all
sub-09,2,"01, 02",ses-all
sub-10,2,"01, 02",ses-all
sub-11,2,"01, 02",ses-all
sub-12,2,"01, 02",ses-all
sub-13,2,"01, 02",ses-all
sub-14,2,"01, 02",ses-all
sub-16,2,"01, 02",ses-all
sub-17,2,"01, 02",ses-all
sub-18,2,"01, 02",ses-all
sub-20,2,"01, 02",ses-all
sub-21,2,"01, 02",ses-all
sub-23,2,"01, 02",ses-all
sub-24,2,"01, 02",ses-all
sub-25,2,"01, 02",ses-all
sub-26,2,"01, 02",ses-all
sub-28,2,"01, 02",ses-all
sub-29,2,"01, 02",ses-all
