Subject,num_runs,run_numbers,Session
sub-01,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-02,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-03,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-04,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-05,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-06,6,"01, 02, 03, 04, 05, 06",ses-all
sub-07,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-08,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-09,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-10,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-11,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-12,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-13,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
