Subject,num_runs,run_numbers,Session
sub-01,0,None,ses-all
sub-02,0,None,ses-all
sub-03,0,None,ses-all
sub-04,0,None,ses-all
sub-05,0,None,ses-all
sub-06,0,None,ses-all
sub-07,0,None,ses-all
sub-08,0,None,ses-all
sub-09,0,None,ses-all
sub-10,0,None,ses-all
sub-11,0,None,ses-all
sub-12,0,None,ses-all
sub-13,0,None,ses-all
sub-14,0,None,ses-all
sub-15,0,None,ses-all
sub-16,0,None,ses-all
sub-17,0,None,ses-all
sub-18,0,None,ses-all
sub-19,0,None,ses-all
sub-20,0,None,ses-all
sub-21,0,None,ses-all
sub-22,0,None,ses-all
sub-24,0,None,ses-all
sub-26,0,None,ses-all
sub-27,0,None,ses-all
sub-28,0,None,ses-all
sub-29,0,None,ses-all
sub-30,0,None,ses-all
sub-31,0,None,ses-all
sub-32,0,None,ses-all
sub-33,0,None,ses-all
sub-34,0,None,ses-all
sub-35,0,None,ses-all
sub-36,0,None,ses-all
sub-37,0,None,ses-all
sub-38,0,None,ses-all
sub-39,0,None,ses-all
sub-40,0,None,ses-all
sub-41,0,None,ses-all
sub-42,0,None,ses-all
sub-43,0,None,ses-all
sub-44,0,None,ses-all
sub-45,0,None,ses-all
sub-46,0,None,ses-all
sub-47,0,None,ses-all
sub-49,0,None,ses-all
sub-50,0,None,ses-all
sub-51,0,None,ses-all
sub-52,0,None,ses-all
sub-53,0,None,ses-all
sub-54,0,None,ses-all
sub-55,0,None,ses-all
sub-56,0,None,ses-all
sub-57,0,None,ses-all
sub-58,0,None,ses-all
sub-59,0,None,ses-all
sub-60,0,None,ses-all
sub-61,0,None,ses-all
sub-62,0,None,ses-all
sub-63,0,None,ses-all
sub-64,0,None,ses-all
sub-65,0,None,ses-all
sub-66,0,None,ses-all
sub-67,0,None,ses-all
sub-68,0,None,ses-all
sub-69,0,None,ses-all
sub-70,0,None,ses-all
sub-71,0,None,ses-all
sub-72,0,None,ses-all
sub-73,0,None,ses-all
sub-74,0,None,ses-all
sub-75,0,None,ses-all
sub-76,0,None,ses-all
sub-77,0,None,ses-all
sub-78,0,None,ses-all
sub-79,0,None,ses-all
sub-80,0,None,ses-all
sub-81,0,None,ses-all
sub-82,0,None,ses-all
sub-83,0,None,ses-all
sub-84,0,None,ses-all
sub-85,0,None,ses-all
sub-86,0,None,ses-all
sub-87,0,None,ses-all
sub-88,0,None,ses-all
sub-89,0,None,ses-all
sub-90,0,None,ses-all
sub-91,0,None,ses-all
sub-92,0,None,ses-all
sub-93,0,None,ses-all
sub-94,0,None,ses-all
sub-95,0,None,ses-all
sub-96,0,None,ses-all
sub-97,0,None,ses-all
sub-98,0,None,ses-all
sub-99,0,None,ses-all
sub-100,0,None,ses-all
sub-101,0,None,ses-all
sub-102,0,None,ses-all
