Subject,num_runs,run_numbers,Session
sub-01,3,"01, 02, 03",ses-all
sub-02,3,"01, 02, 03",ses-all
sub-03,3,"01, 02, 03",ses-all
sub-04,3,"01, 02, 03",ses-all
sub-05,2,"02, 03",ses-all
sub-06,3,"01, 02, 03",ses-all
sub-08,3,"01, 02, 03",ses-all
sub-09,2,"01, 02",ses-all
sub-10,3,"01, 02, 03",ses-all
sub-11,3,"01, 02, 03",ses-all
sub-12,2,"01, 02",ses-all
sub-13,2,"01, 02",ses-all
sub-14,3,"01, 02, 03",ses-all
sub-15,2,"01, 02",ses-all
sub-16,2,"02, 03",ses-all
sub-17,3,"01, 02, 03",ses-all
sub-18,3,"01, 02, 03",ses-all
sub-19,3,"01, 02, 03",ses-all
sub-20,2,"01, 02",ses-all
sub-21,3,"01, 02, 03",ses-all
sub-22,3,"01, 02, 03",ses-all
sub-23,2,"02, 03",ses-all
sub-24,3,"01, 02, 03",ses-all
sub-25,3,"01, 02, 03",ses-all
sub-26,3,"01, 02, 03",ses-all
sub-27,3,"01, 02, 03",ses-all
