Subject,num_runs,run_numbers,Session
sub-control01,3,"1, 2, 3",ses-all
sub-control02,3,"1, 2, 3",ses-all
sub-control03,3,"3, 4, 5",ses-all
sub-control04,3,"3, 4, 5",ses-all
sub-control05,3,"3, 4, 5",ses-all
sub-control06,3,"3, 4, 5",ses-all
sub-control07,3,"1, 2, 3",ses-all
sub-control08,3,"1, 2, 3",ses-all
sub-control09,3,"1, 2, 3",ses-all
sub-control10,3,"1, 2, 3",ses-all
sub-control11,3,"1, 2, 3",ses-all
sub-control12,3,"3, 4, 5",ses-all
sub-control13,3,"1, 2, 3",ses-all
sub-control14,3,"3, 4, 5",ses-all
sub-control15,3,"1, 2, 3",ses-all
sub-control16,3,"3, 4, 5",ses-all
sub-control17,3,"3, 4, 5",ses-all
sub-control18,3,"1, 2, 3",ses-all
sub-control19,3,"3, 4, 5",ses-all
sub-control20,3,"1, 2, 3",ses-all
sub-mdd01,3,"1, 2, 3",ses-all
sub-mdd02,3,"3, 4, 5",ses-all
sub-mdd03,3,"1, 2, 3",ses-all
sub-mdd04,3,"3, 4, 5",ses-all
sub-mdd05,3,"3, 4, 5",ses-all
sub-mdd06,3,"1, 2, 3",ses-all
sub-mdd07,3,"1, 2, 3",ses-all
sub-mdd08,3,"1, 2, 3",ses-all
sub-mdd09,3,"3, 4, 5",ses-all
sub-mdd10,3,"1, 2, 3",ses-all
sub-mdd11,3,"1, 2, 3",ses-all
sub-mdd12,3,"1, 2, 3",ses-all
sub-mdd13,3,"3, 4, 5",ses-all
sub-mdd14,3,"3, 4, 5",ses-all
sub-mdd15,3,"1, 2, 3",ses-all
sub-mdd16,3,"3, 4, 5",ses-all
sub-mdd17,3,"3, 4, 5",ses-all
sub-mdd18,3,"3, 4, 5",ses-all
sub-mdd19,3,"1, 2, 3",ses-all
