Subject,num_runs,run_numbers,Session
sub-control01,2,"4, 5",ses-all
sub-control02,2,"4, 5",ses-all
sub-control03,2,"1, 2",ses-all
sub-control04,2,"1, 2",ses-all
sub-control05,2,"1, 2",ses-all
sub-control06,2,"1, 2",ses-all
sub-control07,2,"4, 5",ses-all
sub-control08,2,"4, 5",ses-all
sub-control09,2,"4, 5",ses-all
sub-control10,2,"4, 5",ses-all
sub-control11,2,"4, 5",ses-all
sub-control12,2,"1, 2",ses-all
sub-control13,2,"4, 5",ses-all
sub-control14,2,"1, 2",ses-all
sub-control15,2,"4, 5",ses-all
sub-control16,2,"1, 2",ses-all
sub-control17,2,"1, 2",ses-all
sub-control18,2,"4, 5",ses-all
sub-control19,2,"1, 2",ses-all
sub-control20,2,"4, 5",ses-all
sub-mdd01,2,"4, 5",ses-all
sub-mdd02,2,"1, 2",ses-all
sub-mdd03,2,"4, 5",ses-all
sub-mdd04,2,"1, 2",ses-all
sub-mdd05,2,"1, 2",ses-all
sub-mdd06,2,"4, 5",ses-all
sub-mdd07,2,"4, 5",ses-all
sub-mdd08,2,"4, 5",ses-all
sub-mdd09,2,"1, 2",ses-all
sub-mdd10,2,"4, 5",ses-all
sub-mdd11,2,"4, 5",ses-all
sub-mdd12,2,"4, 5",ses-all
sub-mdd13,2,"1, 2",ses-all
sub-mdd14,2,"1, 2",ses-all
sub-mdd15,2,"4, 5",ses-all
sub-mdd16,2,"1, 2",ses-all
sub-mdd17,2,"1, 2",ses-all
sub-mdd18,2,"1, 2",ses-all
sub-mdd19,2,"4, 5",ses-all
