Subject,num_runs,run_numbers,Session
sub-03,6,"01, 02, 03, 04, 05, 06",ses-all
sub-04,6,"01, 02, 03, 04, 05, 06",ses-all
sub-05,6,"01, 02, 03, 04, 05, 06",ses-all
sub-06,6,"01, 02, 03, 04, 05, 06",ses-all
sub-07,6,"01, 02, 03, 04, 05, 06",ses-all
sub-08,6,"01, 02, 03, 04, 05, 06",ses-all
sub-09,6,"01, 02, 03, 04, 05, 06",ses-all
sub-10,6,"01, 02, 03, 04, 05, 06",ses-all
sub-11,6,"01, 02, 03, 04, 05, 06",ses-all
sub-12,6,"01, 02, 03, 04, 05, 06",ses-all
sub-13,6,"01, 02, 03, 04, 05, 06",ses-all
sub-14,6,"01, 02, 03, 04, 05, 06",ses-all
sub-15,6,"01, 02, 03, 04, 05, 06",ses-all
sub-16,6,"01, 02, 03, 04, 05, 06",ses-all
sub-17,6,"01, 02, 03, 04, 05, 06",ses-all
sub-18,6,"01, 02, 03, 04, 05, 06",ses-all
sub-19,6,"01, 02, 03, 04, 05, 06",ses-all
sub-20,6,"01, 02, 03, 04, 05, 06",ses-all
sub-22,6,"01, 02, 03, 04, 05, 06",ses-all
sub-23,6,"01, 02, 03, 04, 05, 06",ses-all
sub-24,6,"01, 02, 03, 04, 05, 06",ses-all
sub-27,6,"01, 02, 03, 04, 05, 06",ses-all
sub-28,6,"01, 02, 03, 04, 05, 06",ses-all
sub-29,6,"01, 02, 03, 04, 05, 06",ses-all
sub-30,6,"01, 02, 03, 04, 05, 06",ses-all
sub-31,6,"01, 02, 03, 04, 05, 06",ses-all
sub-32,6,"01, 02, 03, 04, 05, 06",ses-all
sub-33,6,"01, 02, 03, 04, 05, 06",ses-all
sub-34,6,"01, 02, 03, 04, 05, 06",ses-all
sub-35,6,"01, 02, 03, 04, 05, 06",ses-all
sub-38,6,"01, 02, 03, 04, 05, 06",ses-all
sub-39,6,"01, 02, 03, 04, 05, 06",ses-all
sub-40,6,"01, 02, 03, 04, 05, 06",ses-all
sub-41,6,"01, 02, 03, 04, 05, 06",ses-all
sub-42,6,"01, 02, 03, 04, 05, 06",ses-all
sub-44,6,"01, 02, 03, 04, 05, 06",ses-all
sub-45,6,"01, 02, 03, 04, 05, 06",ses-all
sub-46,6,"01, 02, 03, 04, 05, 06",ses-all
sub-47,6,"01, 02, 03, 04, 05, 06",ses-all
