Subject,num_runs,run_numbers,Session
sub-03,4,"01, 02, 03, 04",ses-all
sub-04,4,"01, 02, 03, 04",ses-all
sub-05,4,"01, 02, 03, 04",ses-all
sub-06,4,"01, 02, 03, 04",ses-all
sub-07,4,"01, 02, 03, 04",ses-all
sub-08,4,"01, 02, 03, 04",ses-all
sub-09,4,"01, 02, 03, 04",ses-all
sub-10,4,"01, 02, 03, 04",ses-all
sub-11,4,"01, 02, 03, 04",ses-all
sub-12,4,"01, 02, 03, 04",ses-all
sub-13,4,"01, 02, 03, 04",ses-all
sub-14,4,"01, 02, 03, 04",ses-all
sub-15,4,"01, 02, 03, 04",ses-all
sub-16,4,"01, 02, 03, 04",ses-all
sub-17,4,"01, 02, 03, 04",ses-all
sub-18,4,"01, 02, 03, 04",ses-all
sub-19,4,"01, 02, 03, 04",ses-all
sub-20,4,"01, 02, 03, 04",ses-all
sub-22,4,"01, 02, 03, 04",ses-all
sub-23,4,"01, 02, 03, 04",ses-all
sub-24,4,"01, 02, 03, 04",ses-all
sub-27,4,"01, 02, 03, 04",ses-all
sub-28,4,"01, 02, 03, 04",ses-all
sub-29,4,"01, 02, 03, 04",ses-all
sub-30,4,"01, 02, 03, 04",ses-all
sub-31,4,"01, 02, 03, 04",ses-all
sub-32,4,"01, 02, 03, 04",ses-all
sub-33,4,"01, 02, 03, 04",ses-all
sub-34,4,"01, 02, 03, 04",ses-all
sub-35,4,"01, 02, 03, 04",ses-all
