Subject,num_runs,run_numbers,Session
sub-01,0,None,ses-all
sub-02,0,None,ses-all
sub-03,0,None,ses-all
sub-04,0,None,ses-all
sub-05,0,None,ses-all
sub-06,0,None,ses-all
sub-07,0,None,ses-all
sub-08,0,None,ses-all
sub-09,0,None,ses-all
sub-10,0,None,ses-all
sub-11,0,None,ses-all
sub-12,0,None,ses-all
sub-13,0,None,ses-all
sub-14,0,None,ses-all
sub-15,0,None,ses-all
sub-16,0,None,ses-all
sub-19,0,None,ses-all
sub-20,0,None,ses-all
sub-21,0,None,ses-all
sub-22,0,None,ses-all
sub-23,0,None,ses-all
sub-24,0,None,ses-all
sub-25,0,None,ses-all
sub-26,0,None,ses-all
sub-27,0,None,ses-all
sub-28,0,None,ses-all
