Subject,num_runs,run_numbers,Session
sub-002,4,"01, 02, 03, 04",ses-all
sub-004,4,"01, 02, 03, 04",ses-all
sub-005,4,"01, 02, 03, 04",ses-all
sub-007,4,"01, 02, 03, 04",ses-all
sub-008,4,"01, 02, 03, 04",ses-all
sub-009,4,"01, 02, 03, 04",ses-all
sub-010,4,"01, 02, 03, 04",ses-all
sub-012,4,"01, 02, 03, 04",ses-all
sub-013,4,"01, 02, 03, 04",ses-all
sub-014,4,"01, 02, 03, 04",ses-all
sub-015,4,"01, 02, 03, 04",ses-all
sub-016,4,"01, 02, 03, 04",ses-all
sub-017,4,"01, 02, 03, 04",ses-all
sub-018,4,"01, 02, 03, 04",ses-all
sub-019,4,"01, 02, 03, 04",ses-all
sub-020,4,"01, 02, 03, 04",ses-all
sub-021,4,"01, 02, 03, 04",ses-all
sub-022,4,"01, 02, 03, 04",ses-all
sub-023,4,"01, 02, 03, 04",ses-all
sub-024,4,"01, 02, 03, 04",ses-all
sub-027,4,"01, 02, 03, 04",ses-all
sub-028,4,"01, 02, 03, 04",ses-all
sub-029,4,"01, 02, 03, 04",ses-all
sub-030,4,"01, 02, 03, 04",ses-all
sub-031,4,"01, 02, 03, 04",ses-all
sub-032,4,"01, 02, 03, 04",ses-all
sub-034,4,"01, 02, 03, 04",ses-all
sub-035,4,"01, 02, 03, 04",ses-all
sub-036,4,"01, 02, 03, 04",ses-all
sub-037,4,"01, 02, 03, 04",ses-all
sub-039,4,"01, 02, 03, 04",ses-all
sub-040,4,"01, 02, 03, 04",ses-all
sub-041,4,"01, 02, 03, 04",ses-all
sub-042,4,"01, 02, 03, 04",ses-all
sub-043,4,"01, 02, 03, 04",ses-all
sub-045,4,"01, 02, 03, 04",ses-all
sub-046,4,"01, 02, 03, 04",ses-all
sub-048,4,"01, 02, 03, 04",ses-all
sub-049,4,"01, 02, 03, 04",ses-all
sub-050,4,"01, 02, 03, 04",ses-all
