Subject,num_runs,run_numbers,Session
sub-01,2,"01, 02",ses-all
sub-02,2,"01, 02",ses-all
sub-03,2,"01, 02",ses-all
sub-04,2,"01, 02",ses-all
sub-05,2,"01, 02",ses-all
sub-06,2,"01, 02",ses-all
sub-07,2,"01, 02",ses-all
sub-08,2,"01, 02",ses-all
sub-09,2,"01, 02",ses-all
sub-10,2,"01, 02",ses-all
sub-11,2,"01, 02",ses-all
sub-12,2,"01, 02",ses-all
sub-13,2,"01, 02",ses-all
sub-14,2,"01, 02",ses-all
sub-15,2,"01, 02",ses-all
sub-16,2,"01, 02",ses-all
sub-17,2,"01, 02",ses-all
sub-18,2,"01, 02",ses-all
sub-19,2,"01, 02",ses-all
sub-20,2,"01, 02",ses-all
sub-21,2,"01, 02",ses-all
sub-22,2,"01, 02",ses-all
sub-23,2,"01, 02",ses-all
sub-24,2,"01, 02",ses-all
sub-25,2,"01, 02",ses-all
sub-26,2,"01, 02",ses-all
sub-27,2,"01, 02",ses-all
sub-28,2,"01, 02",ses-all
sub-29,2,"01, 02",ses-all
sub-30,2,"01, 02",ses-all
sub-31,2,"01, 02",ses-all
sub-32,2,"01, 02",ses-all
sub-33,2,"01, 02",ses-all
sub-34,2,"01, 02",ses-all
sub-35,2,"01, 02",ses-all
sub-36,2,"01, 02",ses-all
sub-37,2,"01, 02",ses-all
sub-38,2,"01, 02",ses-all
sub-39,2,"01, 02",ses-all
sub-40,2,"01, 02",ses-all
sub-41,2,"01, 02",ses-all
sub-42,2,"01, 02",ses-all
sub-43,2,"01, 02",ses-all
sub-44,2,"01, 02",ses-all
sub-45,2,"01, 02",ses-all
sub-46,2,"01, 02",ses-all
