Subject,num_runs,run_numbers,Session
sub-21134,3,"01, 02, 03",ses-all
sub-21138,3,"01, 02, 03",ses-all
sub-21143,3,"01, 02, 03",ses-all
sub-21147,3,"01, 02, 03",ses-all
sub-21150,3,"01, 02, 03",ses-all
sub-21156,3,"01, 02, 03",ses-all
sub-21160,3,"01, 02, 03",ses-all
sub-21163,3,"01, 02, 03",ses-all
sub-21173,3,"01, 02, 03",ses-all
sub-21175,3,"01, 02, 03",ses-all
sub-21180,3,"01, 02, 03",ses-all
sub-21187,3,"01, 02, 03",ses-all
sub-21188,3,"01, 02, 03",ses-all
sub-21248,3,"01, 02, 03",ses-all
sub-21255,3,"01, 02, 03",ses-all
sub-21256,3,"01, 02, 03",ses-all
sub-21272,3,"01, 02, 03",ses-all
sub-21297,3,"01, 02, 03",ses-all
sub-21303,3,"01, 02, 03",ses-all
sub-21346,3,"01, 02, 03",ses-all
sub-21348,3,"01, 02, 03",ses-all
sub-21349,3,"01, 02, 03",ses-all
sub-21376,3,"01, 02, 03",ses-all
sub-21407,3,"01, 02, 03",ses-all
sub-21413,3,"01, 02, 03",ses-all
sub-21439,3,"01, 02, 03",ses-all
sub-21469,3,"01, 02, 03",ses-all
sub-21487,3,"01, 02, 03",ses-all
sub-21502,3,"01, 02, 03",ses-all
sub-21508,3,"01, 02, 03",ses-all
sub-21509,3,"01, 02, 03",ses-all
sub-21565,3,"01, 02, 03",ses-all
sub-21567,3,"01, 02, 03",ses-all
sub-21586,3,"01, 02, 03",ses-all
sub-21602,3,"01, 02, 03",ses-all
sub-21677,2,"01, 02",ses-all
sub-21688,3,"01, 02, 03",ses-all
sub-21715,3,"01, 02, 03",ses-all
sub-21748,3,"01, 02, 03",ses-all
sub-21752,3,"01, 02, 03",ses-all
sub-21755,3,"01, 02, 03",ses-all
sub-21772,3,"01, 02, 03",ses-all
sub-21787,3,"01, 02, 03",ses-all
sub-21791,3,"01, 02, 03",ses-all
sub-21793,3,"01, 02, 03",ses-all
sub-22576,3,"01, 02, 03",ses-all
sub-22605,3,"01, 02, 03",ses-all
sub-22610,3,"01, 02, 03",ses-all
sub-22625,3,"01, 02, 03",ses-all
sub-22680,3,"01, 02, 03",ses-all
sub-22703,3,"01, 02, 03",ses-all
sub-22708,3,"01, 02, 03",ses-all
sub-22737,3,"01, 02, 03",ses-all
sub-22741,3,"01, 02, 03",ses-all
sub-22742,3,"01, 02, 03",ses-all
sub-22754,3,"01, 02, 03",ses-all
sub-22767,3,"01, 02, 03",ses-all
sub-22776,3,"01, 02, 03",ses-all
sub-22781,3,"01, 02, 03",ses-all
sub-22792,3,"01, 02, 03",ses-all
sub-22815,3,"01, 02, 03",ses-all
sub-22841,3,"01, 02, 03",ses-all
sub-22844,3,"01, 02, 03",ses-all
sub-22847,2,"02, 03",ses-all
sub-22856,3,"01, 02, 03",ses-all
sub-22858,3,"01, 02, 03",ses-all
sub-22881,3,"01, 02, 03",ses-all
sub-22892,3,"01, 02, 03",ses-all
sub-22897,3,"01, 02, 03",ses-all
sub-22932,3,"01, 02, 03",ses-all
sub-22953,3,"01, 02, 03",ses-all
sub-22960,3,"01, 02, 03",ses-all
sub-22967,3,"01, 02, 03",ses-all
sub-22973,3,"01, 02, 03",ses-all
sub-23139,3,"01, 02, 03",ses-all
