Subject,Session,num_runs,run_numbers
sub-01,ses-01,3,"01, 02, 03"
sub-02,ses-01,6,"01, 02, 03, 04, 05, 06"
sub-03,ses-01,6,"01, 02, 03, 04, 05, 06"
sub-04,ses-01,6,"01, 02, 03, 04, 05, 06"
sub-05,ses-01,6,"01, 02, 03, 04, 05, 06"
sub-06,ses-01,6,"01, 02, 03, 04, 05, 06"
sub-07,ses-01,6,"01, 02, 03, 04, 05, 06"
sub-08,ses-01,6,"01, 02, 03, 04, 05, 06"
sub-09,ses-01,6,"01, 02, 03, 04, 05, 06"
sub-10,ses-01,6,"01, 02, 03, 04, 05, 06"
sub-11,ses-01,6,"01, 02, 03, 04, 05, 06"
sub-12,ses-01,6,"01, 02, 03, 04, 05, 06"
sub-13,ses-01,6,"01, 02, 03, 04, 05, 06"
