Subject,Session,num_runs,run_numbers
sub-01,ses-02,5,"01, 02, 03, 04, 05"
sub-02,ses-02,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-03,ses-02,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-05,ses-02,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-06,ses-02,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-07,ses-02,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-08,ses-02,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-09,ses-02,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-10,ses-02,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-11,ses-02,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-12,ses-02,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-13,ses-02,8,"01, 02, 03, 04, 05, 06, 07, 08"
