Subject,num_runs,run_numbers,Session
sub-064,2,"01, 02",ses-all
sub-065,2,"01, 02",ses-all
sub-066,2,"01, 02",ses-all
sub-067,2,"01, 02",ses-all
sub-068,2,"01, 02",ses-all
sub-069,2,"01, 02",ses-all
sub-070,2,"01, 02",ses-all
sub-071,2,"01, 02",ses-all
sub-072,2,"01, 02",ses-all
sub-073,2,"01, 02",ses-all
sub-074,2,"01, 02",ses-all
sub-075,2,"01, 02",ses-all
sub-076,2,"01, 02",ses-all
sub-077,2,"01, 02",ses-all
sub-078,2,"01, 02",ses-all
sub-079,2,"01, 02",ses-all
sub-080,2,"01, 02",ses-all
sub-081,2,"01, 02",ses-all
sub-082,2,"01, 02",ses-all
sub-083,2,"01, 02",ses-all
sub-084,2,"01, 02",ses-all
sub-085,2,"01, 02",ses-all
sub-086,2,"01, 02",ses-all
sub-087,2,"01, 02",ses-all
sub-088,2,"01, 02",ses-all
sub-089,2,"01, 02",ses-all
sub-090,2,"01, 02",ses-all
sub-091,2,"01, 02",ses-all
