Subject,num_runs,run_numbers,Session
sub-047,4,"01, 02, 03, 04",ses-all
sub-048,4,"01, 02, 03, 04",ses-all
sub-049,4,"01, 02, 03, 04",ses-all
sub-050,4,"01, 02, 03, 04",ses-all
sub-051,4,"01, 02, 03, 04",ses-all
sub-052,4,"01, 02, 03, 04",ses-all
sub-053,4,"01, 02, 03, 04",ses-all
sub-054,4,"01, 02, 03, 04",ses-all
sub-055,4,"01, 02, 03, 04",ses-all
sub-056,4,"01, 02, 03, 04",ses-all
sub-057,4,"01, 02, 03, 04",ses-all
sub-058,4,"01, 02, 03, 04",ses-all
sub-059,4,"01, 02, 03, 04",ses-all
sub-060,4,"01, 02, 03, 04",ses-all
sub-061,4,"01, 02, 03, 04",ses-all
sub-062,4,"01, 02, 03, 04",ses-all
sub-063,4,"01, 02, 03, 04",ses-all
