Subject,num_runs,run_numbers,Session
sub-001,3,"01, 02, 03",ses-all
sub-002,3,"01, 02, 03",ses-all
sub-003,3,"01, 02, 03",ses-all
sub-004,3,"01, 02, 03",ses-all
sub-005,3,"01, 02, 03",ses-all
sub-006,3,"01, 02, 03",ses-all
sub-007,3,"01, 02, 03",ses-all
sub-008,3,"01, 02, 03",ses-all
sub-009,3,"01, 02, 03",ses-all
sub-010,3,"01, 02, 03",ses-all
sub-011,3,"01, 02, 03",ses-all
sub-012,3,"01, 02, 03",ses-all
sub-013,3,"01, 02, 03",ses-all
sub-014,3,"01, 02, 03",ses-all
sub-015,3,"01, 02, 03",ses-all
sub-016,3,"01, 02, 03",ses-all
sub-017,3,"01, 02, 03",ses-all
sub-018,3,"01, 02, 03",ses-all
sub-019,3,"01, 02, 03",ses-all
sub-020,3,"01, 02, 03",ses-all
sub-021,3,"01, 02, 03",ses-all
sub-022,3,"01, 02, 03",ses-all
sub-023,3,"01, 02, 03",ses-all
sub-024,3,"01, 02, 03",ses-all
