Subject,num_runs,run_numbers,Session
sub-123,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-124,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-125,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-126,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-127,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-128,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-129,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-130,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-131,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-132,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-133,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-134,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-135,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-136,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-137,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-138,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-140,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-141,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-142,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-143,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-144,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-145,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
sub-146,8,"01, 02, 03, 04, 05, 06, 07, 08",ses-all
