Subject,Session,num_runs,run_numbers
sub-01,ses-01,2,"1, 2"
sub-02,ses-01,2,"1, 2"
sub-03,ses-01,2,"1, 2"
sub-04,ses-01,2,"1, 2"
sub-05,ses-01,2,"1, 2"
sub-06,ses-01,2,"1, 2"
sub-07,ses-01,2,"1, 2"
sub-08,ses-01,2,"1, 2"
sub-09,ses-01,2,"1, 2"
sub-10,ses-01,2,"1, 2"
sub-11,ses-01,2,"1, 2"
sub-12,ses-01,2,"1, 2"
sub-13,ses-01,2,"1, 2"
sub-14,ses-01,2,"1, 2"
sub-15,ses-01,2,"1, 2"
sub-16,ses-01,2,"1, 2"
sub-17,ses-01,2,"1, 2"
sub-18,ses-01,2,"1, 2"
sub-19,ses-01,2,"1, 2"
sub-20,ses-01,2,"1, 2"
sub-21,ses-01,2,"1, 2"
sub-22,ses-01,2,"1, 2"
sub-23,ses-01,2,"1, 2"
sub-24,ses-01,2,"1, 2"
sub-01,ses-02,2,"1, 2"
sub-02,ses-02,2,"1, 2"
sub-03,ses-02,2,"1, 2"
sub-04,ses-02,2,"1, 2"
sub-05,ses-02,2,"1, 2"
sub-06,ses-02,2,"1, 2"
sub-07,ses-02,2,"1, 2"
sub-08,ses-02,2,"1, 2"
sub-09,ses-02,2,"1, 2"
sub-10,ses-02,2,"1, 2"
sub-11,ses-02,2,"1, 2"
sub-12,ses-02,2,"1, 2"
sub-13,ses-02,2,"1, 2"
sub-14,ses-02,2,"1, 2"
sub-15,ses-02,2,"1, 2"
sub-16,ses-02,2,"1, 2"
sub-17,ses-02,2,"1, 2"
sub-18,ses-02,2,"1, 2"
sub-19,ses-02,2,"1, 2"
sub-20,ses-02,2,"1, 2"
sub-21,ses-02,2,"1, 2"
sub-22,ses-02,2,"1, 2"
sub-23,ses-02,2,"1, 2"
