Subject,Session,num_runs,run_numbers
sub-01,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-02,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-03,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-04,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-05,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-06,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-07,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-08,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-09,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-10,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-11,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-12,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-13,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-14,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-15,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-16,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-17,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-18,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-19,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-20,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-21,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-22,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-23,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-24,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-25,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-26,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-27,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-28,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
sub-29,ses-01,8,"01, 02, 03, 04, 05, 06, 07, 08"
