Subject,Session,num_runs,run_numbers
sub-1301,ses-AM,2,"1, 2"
sub-1302,ses-AM,2,"1, 2"
sub-1303,ses-AM,2,"1, 2"
sub-1304,ses-AM,2,"1, 2"
sub-1305,ses-AM,2,"1, 2"
sub-1306,ses-AM,2,"1, 2"
sub-1307,ses-AM,2,"1, 2"
sub-1308,ses-AM,2,"1, 2"
sub-1309,ses-AM,2,"1, 2"
sub-1310,ses-AM,2,"1, 2"
sub-1311,ses-AM,2,"1, 2"
sub-1312,ses-AM,2,"1, 2"
sub-1313,ses-AM,2,"1, 2"
sub-1314,ses-AM,2,"1, 2"
sub-1315,ses-AM,2,"1, 2"
sub-1301,ses-PM,2,"1, 2"
sub-1302,ses-PM,2,"1, 2"
sub-1303,ses-PM,2,"1, 2"
sub-1304,ses-PM,2,"1, 2"
sub-1305,ses-PM,2,"1, 2"
sub-1306,ses-PM,2,"1, 2"
sub-1307,ses-PM,2,"1, 2"
sub-1308,ses-PM,2,"1, 2"
sub-1309,ses-PM,2,"1, 2"
sub-1310,ses-PM,2,"1, 2"
sub-1311,ses-PM,2,"1, 2"
sub-1312,ses-PM,2,"1, 2"
sub-1313,ses-PM,2,"1, 2"
sub-1314,ses-PM,2,"1, 2"
sub-1315,ses-PM,2,"1, 2"
