Subject,num_runs,run_numbers,Session
sub-1001,1,1,ses-all
sub-1002,1,1,ses-all
sub-1003,1,1,ses-all
sub-1004,1,1,ses-all
sub-1006,1,1,ses-all
sub-1007,1,1,ses-all
sub-1009,1,1,ses-all
sub-1010,1,1,ses-all
sub-1011,1,1,ses-all
sub-1012,1,1,ses-all
sub-1013,1,1,ses-all
sub-1015,1,1,ses-all
sub-1016,1,1,ses-all
sub-1019,1,1,ses-all
sub-1021,1,1,ses-all
sub-1240,1,1,ses-all
sub-1242,1,1,ses-all
sub-1243,1,1,ses-all
sub-1244,1,1,ses-all
sub-1245,1,1,ses-all
sub-1247,1,1,ses-all
sub-1248,1,1,ses-all
sub-1249,1,1,ses-all
sub-1251,1,1,ses-all
sub-1253,1,1,ses-all
sub-1255,1,1,ses-all
sub-1276,1,1,ses-all
sub-1282,1,1,ses-all
sub-1286,1,1,ses-all
sub-1294,1,1,ses-all
sub-1300,1,1,ses-all
sub-1301,1,1,ses-all
sub-1302,1,1,ses-all
sub-1303,1,1,ses-all
sub-3101,1,1,ses-all
sub-3116,1,1,ses-all
sub-3122,1,1,ses-all
sub-3125,1,1,ses-all
sub-3140,1,1,ses-all
sub-3143,1,1,ses-all
sub-3152,1,1,ses-all
sub-3164,1,1,ses-all
sub-3166,1,1,ses-all
sub-3167,1,1,ses-all
sub-3170,1,1,ses-all
sub-3173,1,1,ses-all
sub-3175,1,1,ses-all
sub-3176,1,1,ses-all
sub-3186,1,1,ses-all
sub-3189,1,1,ses-all
sub-3190,1,1,ses-all
sub-3199,1,1,ses-all
sub-3200,1,1,ses-all
sub-3206,1,1,ses-all
sub-3210,1,1,ses-all
sub-3212,1,1,ses-all
sub-3218,1,1,ses-all
sub-3220,1,1,ses-all
sub-3223,1,1,ses-all
