Subject,num_runs,run_numbers,Session
sub-1001,2,"1, 2",ses-all
sub-1002,2,"1, 2",ses-all
sub-1003,1,1,ses-all
sub-1004,2,"1, 2",ses-all
sub-1006,1,1,ses-all
sub-1007,2,"1, 2",ses-all
sub-1009,2,"1, 2",ses-all
sub-1010,2,"1, 2",ses-all
sub-1011,2,"1, 2",ses-all
sub-1012,2,"1, 2",ses-all
sub-1013,2,"1, 2",ses-all
sub-1015,2,"1, 2",ses-all
sub-1016,2,"1, 2",ses-all
sub-1019,2,"1, 2",ses-all
sub-1021,2,"1, 2",ses-all
sub-1242,1,1,ses-all
sub-1243,2,"1, 2",ses-all
sub-1244,2,"1, 2",ses-all
sub-1245,2,"1, 2",ses-all
sub-1247,2,"1, 2",ses-all
sub-1248,2,"1, 2",ses-all
sub-1249,2,"1, 2",ses-all
sub-1253,2,"1, 2",ses-all
sub-1255,2,"1, 2",ses-all
sub-1276,1,1,ses-all
sub-1282,1,1,ses-all
sub-1286,2,"1, 2",ses-all
sub-1294,1,1,ses-all
sub-1300,2,"1, 2",ses-all
sub-1301,2,"1, 2",ses-all
sub-1302,1,1,ses-all
sub-1303,1,1,ses-all
sub-3101,1,1,ses-all
sub-3116,1,1,ses-all
sub-3122,1,1,ses-all
sub-3125,1,1,ses-all
sub-3140,1,1,ses-all
sub-3143,1,1,ses-all
sub-3152,1,1,ses-all
sub-3164,1,1,ses-all
sub-3166,1,1,ses-all
sub-3167,1,1,ses-all
sub-3170,1,1,ses-all
sub-3173,1,1,ses-all
sub-3175,1,1,ses-all
sub-3176,1,1,ses-all
sub-3186,1,1,ses-all
sub-3189,1,1,ses-all
sub-3190,1,1,ses-all
sub-3199,1,1,ses-all
sub-3200,1,1,ses-all
sub-3206,1,1,ses-all
sub-3210,1,1,ses-all
sub-3212,1,1,ses-all
sub-3218,1,1,ses-all
sub-3220,1,1,ses-all
sub-3223,1,1,ses-all
