Subject,num_runs,run_numbers,Session
sub-1001,2,"1, 2",ses-all
sub-1002,2,"1, 2",ses-all
sub-1003,1,1,ses-all
sub-1004,2,"1, 2",ses-all
sub-1006,2,"1, 2",ses-all
sub-1007,2,"1, 2",ses-all
sub-1009,2,"1, 2",ses-all
sub-1010,2,"1, 2",ses-all
sub-1011,2,"1, 2",ses-all
sub-1012,2,"1, 2",ses-all
sub-1013,2,"1, 2",ses-all
sub-1015,2,"1, 2",ses-all
sub-1016,2,"1, 2",ses-all
sub-1019,2,"1, 2",ses-all
sub-1021,2,"1, 2",ses-all
sub-1242,2,"1, 2",ses-all
sub-1243,2,"1, 2",ses-all
sub-1244,2,"1, 2",ses-all
sub-1248,2,"1, 2",ses-all
sub-1249,2,"1, 2",ses-all
sub-1251,2,"1, 2",ses-all
sub-1253,2,"1, 2",ses-all
sub-1255,2,"1, 2",ses-all
sub-1276,2,"1, 2",ses-all
sub-1282,2,"1, 2",ses-all
sub-1286,2,"1, 2",ses-all
sub-1294,2,"1, 2",ses-all
sub-1300,2,"1, 2",ses-all
sub-1301,2,"1, 2",ses-all
sub-1302,2,"1, 2",ses-all
sub-1303,2,"1, 2",ses-all
sub-3116,2,"1, 2",ses-all
sub-3122,2,"1, 2",ses-all
sub-3125,2,"1, 2",ses-all
sub-3140,2,"1, 2",ses-all
sub-3143,2,"1, 2",ses-all
sub-3152,2,"1, 2",ses-all
sub-3164,2,"1, 2",ses-all
sub-3166,2,"1, 2",ses-all
sub-3167,2,"1, 2",ses-all
sub-3170,2,"1, 2",ses-all
sub-3173,2,"1, 2",ses-all
sub-3176,2,"1, 2",ses-all
sub-3189,2,"1, 2",ses-all
sub-3190,2,"1, 2",ses-all
sub-3199,2,"1, 2",ses-all
sub-3200,2,"1, 2",ses-all
sub-3206,2,"1, 2",ses-all
sub-3210,2,"1, 2",ses-all
sub-3212,2,"1, 2",ses-all
sub-3218,2,"1, 2",ses-all
sub-3220,2,"1, 2",ses-all
