Subject,Session,num_runs,run_numbers
sub-02,ses-1,2,"01, 02"
sub-09,ses-1,2,"01, 02"
sub-12,ses-1,2,"01, 02"
sub-15,ses-1,2,"01, 02"
sub-16,ses-1,2,"01, 02"
sub-18,ses-1,2,"01, 02"
sub-20,ses-1,2,"01, 02"
sub-22,ses-1,2,"01, 02"
sub-24,ses-1,2,"01, 02"
sub-25,ses-1,2,"01, 02"
sub-27,ses-1,2,"01, 02"
sub-28,ses-1,2,"01, 02"
sub-32,ses-1,2,"01, 02"
sub-35,ses-1,2,"01, 02"
sub-36,ses-1,2,"01, 02"
sub-37,ses-1,2,"01, 02"
sub-38,ses-1,2,"01, 02"
sub-42,ses-1,2,"01, 02"
sub-43,ses-1,2,"01, 02"
sub-44,ses-1,2,"01, 02"
sub-45,ses-1,2,"01, 02"
sub-47,ses-1,2,"01, 02"
sub-48,ses-1,2,"01, 02"
sub-51,ses-1,2,"01, 02"
sub-53,ses-1,2,"01, 02"
sub-54,ses-1,2,"01, 02"
sub-55,ses-1,2,"01, 02"
sub-56,ses-1,2,"01, 02"
sub-57,ses-1,2,"01, 02"
sub-58,ses-1,2,"01, 02"
sub-60,ses-1,2,"01, 02"
sub-62,ses-1,2,"01, 02"
sub-64,ses-1,2,"01, 02"
sub-65,ses-1,2,"01, 02"
sub-66,ses-1,2,"01, 02"
sub-71,ses-1,2,"01, 02"
sub-73,ses-1,2,"01, 02"
sub-75,ses-1,2,"01, 02"
sub-77,ses-1,2,"01, 02"
sub-78,ses-1,2,"01, 02"
sub-80,ses-1,2,"01, 02"
sub-82,ses-1,2,"01, 02"
sub-83,ses-1,2,"01, 02"
sub-84,ses-1,2,"01, 02"
sub-85,ses-1,2,"01, 02"
sub-86,ses-1,2,"01, 02"
sub-89,ses-1,2,"01, 02"
sub-90,ses-1,2,"01, 02"
sub-91,ses-1,2,"01, 02"
sub-92,ses-1,2,"01, 02"
sub-93,ses-1,2,"01, 02"
sub-96,ses-1,2,"01, 02"
sub-97,ses-1,2,"01, 02"
sub-98,ses-1,2,"01, 02"
sub-99,ses-1,2,"01, 02"
sub-100,ses-1,2,"01, 02"
sub-103,ses-1,2,"01, 02"
sub-105,ses-1,2,"01, 02"
sub-106,ses-1,2,"01, 02"
sub-108,ses-1,2,"01, 02"
sub-02,ses-2,2,"01, 02"
sub-09,ses-2,2,"01, 02"
sub-12,ses-2,2,"01, 02"
sub-15,ses-2,2,"01, 02"
sub-16,ses-2,2,"01, 02"
sub-18,ses-2,2,"01, 02"
sub-20,ses-2,2,"01, 02"
sub-22,ses-2,2,"01, 02"
sub-24,ses-2,2,"01, 02"
sub-25,ses-2,2,"01, 02"
sub-27,ses-2,2,"01, 02"
sub-28,ses-2,2,"01, 02"
sub-32,ses-2,2,"01, 02"
sub-35,ses-2,2,"01, 02"
sub-36,ses-2,2,"01, 02"
sub-37,ses-2,2,"01, 02"
sub-38,ses-2,2,"01, 02"
sub-42,ses-2,2,"01, 02"
sub-43,ses-2,2,"01, 02"
sub-44,ses-2,2,"01, 02"
sub-45,ses-2,2,"01, 02"
sub-47,ses-2,2,"01, 02"
sub-48,ses-2,2,"01, 02"
sub-51,ses-2,2,"01, 02"
sub-53,ses-2,2,"01, 02"
sub-54,ses-2,2,"01, 02"
sub-55,ses-2,2,"01, 02"
sub-56,ses-2,2,"01, 02"
sub-57,ses-2,2,"01, 02"
sub-58,ses-2,2,"01, 02"
sub-60,ses-2,2,"01, 02"
sub-62,ses-2,2,"01, 02"
sub-64,ses-2,2,"01, 02"
sub-65,ses-2,2,"01, 02"
sub-66,ses-2,2,"01, 02"
sub-71,ses-2,2,"01, 02"
sub-73,ses-2,2,"01, 02"
sub-75,ses-2,2,"01, 02"
sub-77,ses-2,2,"01, 02"
sub-78,ses-2,2,"01, 02"
sub-80,ses-2,2,"01, 02"
sub-82,ses-2,2,"01, 02"
sub-83,ses-2,2,"01, 02"
sub-84,ses-2,2,"01, 02"
sub-85,ses-2,2,"01, 02"
sub-86,ses-2,2,"01, 02"
sub-89,ses-2,2,"01, 02"
sub-90,ses-2,2,"01, 02"
sub-91,ses-2,2,"01, 02"
sub-92,ses-2,2,"01, 02"
sub-93,ses-2,2,"01, 02"
sub-96,ses-2,2,"01, 02"
sub-97,ses-2,2,"01, 02"
sub-98,ses-2,2,"01, 02"
sub-99,ses-2,2,"01, 02"
sub-100,ses-2,2,"01, 02"
sub-103,ses-2,2,"01, 02"
sub-105,ses-2,2,"01, 02"
sub-106,ses-2,2,"01, 02"
sub-108,ses-2,2,"01, 02"
