trial_type.cue_LargeGain	trial_type.cue_LargeLoss	trial_type.cue_NoMoneyStake	trial_type.cue_SmallGain	trial_type.cue_SmallLoss	trial_type.fb_hit_LargeGain	trial_type.fb_hit_LargeLoss	trial_type.fb_hit_NoMoneyStake	trial_type.fb_hit_SmallGain	trial_type.fb_hit_SmallLoss	trial_type.fb_miss_LargeGain	trial_type.fb_miss_LargeLoss	trial_type.fb_miss_NoMoneyStake	trial_type.fb_miss_SmallGain	trial_type.fb_miss_SmallLoss	trial_type.fix_LargeGain	trial_type.fix_LargeLoss	trial_type.fix_NoMoneyStake	trial_type.fix_SmallGain	trial_type.fix_SmallLoss	trial_type.probe	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	intercept
3.7416266086351195e-18	3.260068181246406e-12	-0.0001160053950909	-2.2662067300037092e-08	1.2456985404739791e-34	2.9520541008520614e-22	2.1706112288305223e-31	-3.507913329941319e-28	4.8608275846892255e-34	3.1874541269889638e-37	5.679818097924023e-45	-9.51791221404191e-15	-1.3700926445542416e-07	2.005926005192909e-11	1.3300381581339288e-98	2.8179417925559813e-19	9.081474231047209e-15	1.2778136386217243e-06	4.6124002993281746e-10	7.684658552482533e-37	-3.194229958213608e-08	-0.0189995217881744	0.0	0.0	0.0003609818281793	0.0799872050031638	0.0	0.0	0.0063979529642181	-0.0072722458692737	0.0	0.0	5.288555998316839e-05	-3.798327447437195e-05	0.0	0.0	1.442729139795475e-09	0.0004780012953442	0.0	0.0	2.284852383507331e-07	-6.999087319803317e-05	0.0	0.0	4.898722331023157e-09	0.0700994416	0.0700978754	0.070095265	0.0700916106	1
-1.0188364109644553e-17	-7.900808471953024e-12	0.0002040485518508	5.3673293838950365e-08	-3.0933980737515353e-34	-1.3672931280361078e-21	-7.1884097967618345e-31	8.74758478433623e-28	-1.0644735053899313e-33	-8.076394321945352e-37	-3.638084306417104e-44	1.9081744174314084e-14	3.17790791874388e-07	-4.774625280536472e-11	-3.2972893410607345e-98	-6.237028797823271e-19	9.149973141176725e-14	-1.8783658046878328e-06	-2.033427181450872e-09	2.4718242475867205e-36	1.719788496413819e-07	-0.013057522061274	0.0059419997269003	3.530736075448442e-05	0.0001704988823806	0.0580884751205417	-0.021898729882622	0.000479554370472	0.0033742709418297	-2.2121143103959184e-06	0.0072700337549633	5.285339079830584e-05	4.89344972225841e-12	0.0004249672654619	0.0004629505399362	2.1432320242728574e-07	1.80597176714165e-07	0.0006810203333755	0.0002030190380313	4.121672980315445e-08	4.637886944708772e-07	9.685525884659704e-05	0.0001668461320446	2.7837631778254185e-08	9.380941166241314e-09	0.070095265	0.0700811696	0.0700576793	0.0700247974	1
2.7216003501433386e-17	1.8701382494996295e-11	0.0066203754628033	-1.235906945784209e-07	7.52806908972289e-34	5.0398296868896955e-21	2.2348826786630722e-30	-2.1386631981750005e-27	2.205478848491568e-33	2.008963297542635e-36	1.4868234148026705e-43	-3.414206724083748e-14	-7.146604789385018e-07	1.1061620941234103e-10	8.009282376216591e-98	1.3124589536636577e-18	-5.306121177859695e-13	1.637740739399581e-06	7.346280819763849e-09	-1.7841765915569708e-35	-6.730395420455489e-07	-0.005517764965603	0.007539757095671	5.684793706172119e-05	3.044573021563588e-05	0.0739750505536278	0.015886575433086	0.0002523832789911	0.0054723081044117	0.023162511876734	0.0231647239910443	0.0005366044375812	0.0005365019564398	-0.0002209833539686	-0.0006459506194305	4.1725220274264667e-07	4.883364273121157e-08	0.0007250055708714	4.398523749589997e-05	1.934701117570725e-09	5.256330777945646e-07	-4.491987185646823e-05	-0.000141775130703	2.010018768587124e-08	2.017794887601526e-09	0.0700869121	0.070047762	0.0699825281	0.0698912346	1
-7.140470121889931e-17	-4.3031135790023525e-11	0.0407639214914206	2.747340148660136e-07	-1.7905163724173775e-33	-1.67053351099918e-20	-6.653357753800001e-30	5.113873777964745e-27	-4.184758217163765e-33	-4.8980815044281064e-36	-5.193608524882018e-43	4.732738324846757e-14	1.531989650927251e-06	-2.477240051648742e-10	-1.9008445451702195e-97	-2.5557205930975494e-18	2.11053133758165e-12	-4.600529560085733e-07	-2.4079651537942137e-08	7.502213456857902e-35	2.3682706118276e-06	-0.0047284443580366	0.0007893206075663	6.230270215289902e-07	2.235818604704816e-05	0.0718927009930467	-0.002082349560581	4.3361796924522695e-06	0.0051685604560756	0.0279498547012337	0.0047873428244996	2.291865131928874e-05	0.00078119437782	3.596694457171206e-05	0.0002569502985403	6.602345591995547e-08	1.2936211018246075e-09	0.000944001440793	0.0002189958699215	4.795919104271833e-08	8.911387202192598e-07	6.998302546699003e-05	0.0001149028973234	1.3202675813325192e-08	4.8976238535133755e-09	0.0700743833	0.0699976605	0.0698698516	0.0696910496	1
1.840832103845432e-16	9.551109506106871e-11	0.1212624006869889	-5.830000516328552e-07	4.144223038764309e-33	5.1968839835592196e-20	1.917146492895021e-29	-1.1912855274610731e-26	6.694595243736533e-33	1.167474928804697e-35	1.6693597597632097e-42	-1.4019997732210652e-14	-2.561990692110286e-06	5.300262419886162e-10	4.387948044451039e-97	4.319719571415914e-18	-7.277299880531122e-12	0.0017605994046176	7.435928732507742e-08	-2.6552112614928744e-34	-7.104412153903452e-06	-0.0030367384194818	0.0016917059385548	2.8618689825415776e-06	9.221780228356822e-06	0.0580159046890571	-0.0138767963039896	0.0001925654756624	0.0033658451968897	0.0038563599240717	-0.0240934947771619	0.0005804964905771	1.4871511863986288e-05	0.0004039544911754	0.0003679875466036	1.354148344554014e-07	1.631792309407763e-07	0.0002370775638058	-0.0007069238769872	4.997413678546139e-07	5.620577126009316e-08	0.0003839521169151	0.0003139690914481	9.857659038475165e-08	1.4741922808358665e-07	0.0700576793	0.0699308772	0.0697197102	0.0694244332	1
-4.66245588209599e-16	-2.0178296627292663e-10	0.2344109349406857	1.1419511105701444e-06	-9.269125225939383e-33	-1.547858150259584e-19	-5.380983130943029e-29	2.6866666278022697e-26	-6.305714634869642e-33	-2.7091441512689027e-35	-5.0877957524848093e-42	-2.454363845884157e-13	2.952097227265854e-06	-1.0598863925557472e-09	-9.780537493947698e-97	-5.038038097143362e-18	2.3209168560519097e-11	0.0196409588584165	-2.2024521836754535e-07	8.601156020031461e-34	1.4469007419876498e-05	0.0012066005064212	0.004243338925903	1.8005925240083627e-05	1.4558847820958964e-06	0.0706539651631885	0.0126380604741314	0.0001597205725478	0.004991982793281	0.0189378422092119	0.0150814822851402	0.0002274511079169	0.000358641867541	-8.464924606895461e-05	-0.0004886037372443	2.3873361204915025e-07	7.165494860042427e-09	0.0005129754862112	0.0002758979224054	7.611966358761614e-08	2.6314384945361706e-07	0.0005820218595681	0.000198069742653	3.9231622954625655e-08	3.387494450151092e-07	0.0700368013	0.0698474278	0.0695321845	0.0690916396	1
1.1592368477561797e-15	3.954285912003199e-10	0.3383234145558926	-1.5459870474876094e-06	1.9795640232388448e-32	4.461798708645283e-19	1.4769843288211542e-28	-5.804343811187219e-26	-1.2527178018755703e-32	6.079468927373876e-35	1.4926490637375509e-41	1.3542615656851908e-12	4.911877015990264e-06	1.8869102006864393e-09	2.078673793469664e-96	-3.106519104846724e-18	-7.035699648693176e-11	0.0775977202486723	6.321968727894659e-07	-2.635355443155265e-33	0.0001859493315641	-0.0013077331589528	-0.002514333665374	6.321873780833056e-06	1.7101660150246694e-06	0.0580570219306508	-0.0125969432325377	0.0001586829788037	0.003370617795456	0.018875879900861	-6.196230835090258e-05	3.8393276561723315e-09	0.0003562988420317	-0.0001340371494269	-4.938790335794538e-05	2.4391649980937524e-09	1.7965957426489116e-08	0.000229978360013	-0.0002829971261982	8.008737343643994e-08	5.2890046074269054e-08	0.000323015407466	-0.0002590064521021	6.708434223051744e-08	1.0433895346042605e-07	0.0700117504	0.0697473323	0.0693073751	0.0686929859	1
-2.824822010465731e-15	-6.76857471118933e-10	0.3979914605308683	9.052116288515876e-07	-3.946812091408291e-32	-1.252727827515233e-18	-3.974404582641285e-28	1.1781629545746423e-25	1.0662579286520268e-31	-1.3043574273690315e-34	-4.2515188842803547e-41	-5.307495229319259e-12	0.0022005294941393	-2.578990982485457e-09	-4.1126580994915625e-96	4.974807440663368e-17	2.0558022540086447e-10	0.179607247713254	-1.7758783551528788e-06	7.762303592373775e-33	0.0043567240249904	-0.0018083798502033	-0.0005006466912505	2.5064710946007344e-07	3.27023768262131e-06	0.0480055721810828	-0.010051449749568	0.000101031642068	0.0023045349604331	0.0138035482934952	-0.0050723316073657	2.5728547935082115e-05	0.0001905379454908	-0.0003690242724432	-0.0002349871230163	5.521894798347773e-08	1.3617891365223312e-07	0.0001139192422645	-0.0001160591177485	1.3469718812560189e-08	1.2977593758117842e-08	0.0004350210027265	0.0001120055952605	1.2545253369658941e-08	1.892432728131696e-07	0.0699825281	0.0696306146	0.0690454024	0.0682288522	1
6.728516117036194e-15	8.228286867626438e-10	0.4038567673455881	3.277295347128682e-07	6.986528144530233e-32	3.439499404866655e-18	1.049999929793583e-27	-2.1558940723461524e-25	-4.6349111951978085e-31	2.619336725746379e-34	1.1817918152763176e-40	1.816890845747515e-11	0.0221412495988603	5.838995880165813e-10	7.173243608858255e-96	-2.346204178628856e-16	-5.836559236113229e-10	0.2934148191495623	4.948092807335758e-06	-2.2179830992778487e-32	0.0172530537964178	-0.0065275736131837	-0.0047191937629804	2.227078977255311e-05	4.2609217275532105e-05	0.0660837315773932	0.0180781593963103	0.0003268198471584	0.0043670595791929	-0.0010883855954944	-0.0148919338889895	0.000221769694954	1.1845832044796997e-06	-0.0006880166725959	-0.0003189924001527	1.017561513551803e-07	4.733669417699339e-07	0.0005179773475323	0.0004040581052678	1.6326295243260456e-07	2.683005325565971e-07	6.517814962471701e-05	-0.0003698428531017	1.3678373599046705e-07	4.248191188501998e-09	0.0699491361	0.0694973024	0.0687464069	0.0676996809	1
-1.5599845544380555e-14	3.1596476180163403e-10	0.3667474284078437	0.0016856160233688	-9.396703066032404e-32	-9.257727167047788e-18	-2.725449294575385e-27	3.166258783494451e-25	1.6647734210092513e-30	-4.6994849250938945e-34	-3.216314396444843e-40	-5.7692540768796127e-11	0.0820921859180414	1.4303112456517114e-08	-9.242789892677168e-96	8.710687281209308e-16	1.6179158978701574e-09	0.3766794790867369	-1.2310218414829557e-05	6.181922656310846e-32	0.0352597871550515	-0.0069263394192233	-0.0003987658060396	1.590141680664121e-07	4.797417775028657e-05	0.0633367138765947	-0.0027470177007984	7.546106248500239e-06	0.0040115393246856	-0.0010807980462601	7.587549234300056e-06	5.757090338292736e-11	1.168124416799649e-06	-0.0009459958362659	-0.0002579791636699	6.655324888787261e-08	8.949081222324195e-07	0.0004470094287389	-7.096791879339999e-05	5.036445497866615e-09	1.9981742938147774e-07	-1.9788531489339865e-05	-8.496668111405688e-05	7.219336899537831e-09	3.9158597850459535e-10	0.0699115766	0.0693474276	0.068410549	0.0671059764	1
3.4964274267451846e-14	-7.144302695536511e-09	0.305267493135116	0.0191775013225898	1.376091784624574e-32	2.4463943984332305e-17	6.951013174113757e-27	-1.7939678775672424e-25	-5.439449691224096e-30	6.558168804278361e-34	8.587537944456557e-40	1.7436714639927032e-10	0.177283153246239	-7.729420675348526e-08	-6.672585779085628e-97	-2.899089030457185e-15	-4.3924686227562145e-09	0.407430760743699	2.288018183749877e-05	-1.6864571055021948e-31	0.0505794866059603	-0.006325969347884	0.0006003700713393	3.604442225599564e-07	4.001788819036792e-05	0.0334112653710292	-0.0299254485055655	0.0008955324682592	0.0011163126536933	-0.0055424914180264	-0.0044616933717663	1.9906707743663336e-05	3.071921111889629e-05	-0.0006660696945025	0.0002799261417633	7.83586448425431e-08	4.436488379346538e-07	0.0003703744661853	-7.663496255360004e-05	5.872917485591681e-09	1.3717724520204592e-07	0.0003761234048672	0.0003959119363565	1.5674626134958488e-07	1.4146881568889565e-07	0.0698698516	0.0691810258	0.0680380088	0.0664483047	1
