Subject,num_runs,run_numbers,Session
sub-01,6,"1, 2, 3, 4, 5, 6",ses-all
sub-02,6,"1, 2, 3, 4, 5, 6",ses-all
sub-03,6,"1, 2, 3, 4, 5, 6",ses-all
sub-04,6,"1, 2, 3, 4, 5, 6",ses-all
sub-05,6,"1, 2, 3, 4, 5, 6",ses-all
sub-06,6,"1, 2, 3, 4, 5, 6",ses-all
sub-07,6,"1, 2, 3, 4, 5, 6",ses-all
sub-08,6,"1, 2, 3, 4, 5, 6",ses-all
sub-09,6,"1, 2, 3, 4, 5, 6",ses-all
sub-10,6,"1, 2, 3, 4, 5, 6",ses-all
sub-11,6,"1, 2, 3, 4, 5, 6",ses-all
sub-12,6,"1, 2, 3, 4, 5, 6",ses-all
sub-13,6,"1, 2, 3, 4, 5, 6",ses-all
sub-14,6,"1, 2, 3, 4, 5, 6",ses-all
sub-15,6,"1, 2, 3, 4, 5, 6",ses-all
sub-16,6,"1, 2, 3, 4, 5, 6",ses-all
sub-17,6,"1, 2, 3, 4, 5, 6",ses-all
sub-18,6,"1, 2, 3, 4, 5, 6",ses-all
sub-19,6,"1, 2, 3, 4, 5, 6",ses-all
sub-20,6,"1, 2, 3, 4, 5, 6",ses-all
sub-21,6,"1, 2, 3, 4, 5, 6",ses-all
