trial_type.CND_1_DR	trial_type.CND_1_RD	trial_type.CND_2_DT	trial_type.CND_2_T	trial_type.CND_3_DR	trial_type.CND_3_DT	trial_type.CND_3_RD	trial_type.CND_3_T	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	intercept
8.085364483805586e-17	-1.677337887085601e-09	-4.4823525895276985e-17	3.2778317133250333e-18	-2.248997662242773e-17	-1.0029288197938179e-16	1.5300801851565046e-16	-2.0416875468149226e-17	0.0615355990402268	-6.380849000662574e-17	-1.860981600398011e-16	0.0037866299492394	-0.148701655269676	3.7113082649820007e-16	-4.526513159268975e-17	0.0221121822799413	-0.0461972609913768	2.805089774341223e-16	9.38948845604577e-18	0.0021341869231054	-0.0038671002101512	1.3862585727627148e-16	2.0135925031597623e-16	1.4954464034078602e-05	-0.0005308151847816	-5.134926601589422e-17	1.9250628308881012e-16	2.817647596969325e-07	-0.0003550276187617	1.1274361401856523e-16	-9.06096901992998e-17	1.26044610405648e-07	0.0697575012000002	0.0697559728000006	0.0697534254000002	0.0697498593000002	0.0697452742000003	0.0697396705000002	0.0697330480000004	1
8.798347358972382e-17	3.503481965325707e-09	-2.0994322135843963e-18	1.64713139447597e-16	-9.050056198391149e-18	-6.012795678840991e-17	1.365140507300076e-16	-4.968074454893913e-17	0.0187635942702546	-0.0427720047699724	0.0018294443920425	0.0003520724699389	0.0796866388131446	0.2283882940828202	0.0521612128740606	0.006349960405336	0.1085673358203827	0.1547645968117598	0.0239520804263063	0.0117868664071354	0.0037929331362732	0.0076600333464248	5.86761108705691e-05	1.438634177735718e-05	0.0013313088264373	0.0018621240112187	3.467505832979956e-06	1.7723831918409422e-06	-0.0006290272662515	-0.0002739996474899	7.507580690101858e-08	3.9567530178823913e-07	0.0697534254000002	0.0697396705000005	0.0697167475000003	0.0696846596000003	0.0696434109000004	0.0695930068000003	0.0695334541000003	1
1.1398607073053026e-16	-6.617485353847389e-09	-4.597605387086231e-17	-1.7431975889415186e-17	-6.703712850216506e-17	3.9438590239799584e-17	-5.136506989060182e-17	1.720193329968311e-17	0.0369640860387082	0.0182004917684537	0.0003312579006134	0.0013663436566769	-0.00411109192123	-0.0837977307343744	0.0070220596762306	1.690107678460064e-05	0.0202159426796561	-0.0883513931407264	0.0078059686699071	0.0004086843384271	0.0013773973681342	-0.0024155357681394	5.834813047068165e-06	1.8972235103629729e-06	0.0010731389477716	-0.0002581698786654	6.665168625580873e-08	1.1516272017957333e-06	0.0001962605026239	0.0008252877688752	6.810999020262417e-07	3.851818483660632e-08	0.0697452742000002	0.0697070697000005	0.0696434109000002	0.0695543211000003	0.0694398329000004	0.0692999881000002	0.0691348377000004	1
1.219623151594242e-16	1.045506314323163e-08	-3.9769137758144567e-17	3.4422893090637894e-17	-3.249541942008193e-17	-3.4266794883971895e-17	3.529227548616348e-18	1.8289838907368092e-17	-0.0017396500633989	-0.0387037361021072	0.0014979791882615	3.0263823431964506e-06	-0.0141373936168195	-0.010026301695589	0.0001005267256907	0.0001998658982765	0.0609485581750282	0.0407326154953724	0.0016591459650938	0.0037147267436145	0.0005746866588425	-0.0008027107092917	6.443444825766167e-07	3.302647560705603e-07	0.0010929007006698	1.9761752898298288e-05	3.9052700044442364e-10	1.19443194225723e-06	-0.0003413138723044	-0.0005375743749283	2.889862086982031e-07	1.1649515942779487e-07	0.0697330480000001	0.0696581780000006	0.0695334541000002	0.0693589657000002	0.0691348377000003	0.0688612303000001	0.0685383396000004	1
1.2226292878695254e-16	-8.180931833847971e-09	-3.753233823943692e-17	1.263738625988428e-17	-4.270545315500669e-17	-1.7435906756840697e-17	6.178309188007477e-17	-2.078889872060261e-17	0.0361493107995019	0.0378889608629009	0.0014355733552704	0.0013067726712787	-0.1095796533852385	-0.0954422597684184	0.0091092249497021	0.0120077004360289	-0.0015849457274578	-0.0625335039024859	0.0039104391103221	2.512052959060405e-06	0.000313062475171	-0.0002616241836715	6.844721322261555e-08	9.800811347802476e-08	0.0005854664518265	-0.0005074342488435	2.5748951708332666e-07	3.427709664800151e-07	-0.0002120916343437	0.0001292222379606	1.66983864434327e-08	4.4982861425082325e-08	0.0697167475000001	0.0695930068000005	0.0693869351000001	0.0690987761000003	0.0687288706000003	0.0682776564000003	0.0677456671000004	1
1.0958545312243275e-16	-2.8305345947583066e-08	-4.7210368275508235e-17	3.2523345339138364e-17	-4.842904777733265e-17	-3.710328719480969e-17	5.003828039793534e-17	-2.5954737271592045e-17	0.0344391150684092	-0.0017101957310926	2.924769438510914e-06	0.001186052646695	-0.0041700578872639	0.105409595497975	0.0111111828230465	1.7389382782896525e-05	0.028038926708263	0.0296238724357211	0.0008775738180877	0.0007861814109512	-0.000333982580388	-0.0006470450555591	4.186673038345869e-07	1.1154436391926398e-07	0.0003890144163643	-0.0001964520354621	3.859340232129734e-08	1.5133221626447093e-07	-8.79349778556359e-05	0.000124156656488	1.5414875507890685e-08	7.732560349930932e-09	0.0696963736000002	0.0695115715000006	0.0692039308000003	0.0687739953000002	0.0682225247000003	0.0675504934000004	0.0667590892000003	1
1.0201129582978831e-16	2.1817132432094117e-07	-2.7570841950711637e-17	8.560007534536256e-18	-2.2548872566921657e-17	-4.302083640615439e-17	5.941576028787054e-17	-1.7794899094021604e-17	0.0412574820895062	0.0068183670210969	4.649012883426653e-05	0.0017021798283659	-0.1027292034548983	-0.0985591455676342	0.0097139051750221	0.0105532892424778	-0.0068386632508955	-0.0348775899591585	0.0012164462813591	4.676731505917446e-05	0.0003970172690775	0.0007309998494657	5.343607797403814e-07	1.5762271213190314e-07	0.0001809622560743	-0.0002080521602902	4.328570143165969e-08	3.2747338030495976e-08	-0.0001900356523083	-0.0001021006744526	1.042454765405176e-08	3.6113549226695736e-08	0.0696719276000002	0.0694138910000006	0.0689845376000002	0.0683849270000004	0.0676165393000002	0.0666812708000002	0.0655814297000004	1
9.089999843221851e-17	-8.689535318556103e-07	-4.5272504792745593e-17	4.350342997152141e-17	-3.9061727357838116e-17	-3.3962396119893887e-17	6.04437929728527e-17	-1.998317262030321e-18	0.01370557936275	-0.0275519027267564	0.0007591073438645	0.0001878429056686	0.031171274781401	0.1339004782362999	0.0179293380719096	0.0009716483714972	0.0342126630522945	0.0410513263031904	0.0016852113912508	0.0011705063131298	0.0003761807265869	-2.083654249064438e-05	4.341612532677863e-10	1.4151193920669596e-07	0.00044984892951	0.0002688866734357	7.230004330657353e-08	2.023640594945736e-07	-0.0008040846508897	-0.0006140489985814	3.7705617278476914e-07	6.465521262268251e-07	0.0696434109000001	0.0692999881000005	0.0687288706000002	0.0679319350000003	0.0669117996000002	0.0656718163000002	0.0642160592000003	1
1.103408943004594e-16	2.0445036688267205e-06	-5.361442086949839e-17	5.697924180586351e-18	-2.7895157138830374e-17	1.1351137237905699e-18	4.0612256553000946e-17	1.7052336506028153e-17	0.0262893237931509	0.0125837444304011	0.0001583506238895	0.0006911285455011	-0.0503126571123563	-0.0814839318937569	0.0066396311568663	0.0025313634657053	-0.0069375024572403	-0.0411501655095346	0.0016933361214621	4.81289403442625e-05	0.0001060100694788	-0.0002701706571081	7.299218381576483e-08	1.1238134990819618e-08	0.000180993827167	-0.0002688551023429	7.228306609625972e-08	3.2758765367668524e-08	-0.000114009526037	0.0006900751248527	4.762036783278212e-07	1.2998172071689453e-08	0.0696108251000002	0.0691698894000005	0.0684370644000003	0.0674154426000003	0.0661093349000003	0.0645242531000002	0.0626668860000005	1
1.0293726298174072e-16	2.249953982325241e-05	-8.344222313772884e-17	3.3589874181090346e-17	-2.316794055800955e-17	1.0741002950555346e-18	1.1201079359999152e-17	9.512023583167869e-18	0.0256292073742237	-0.0006601164189277	4.357536864385328e-07	0.0006568562706311	0.0428867144330678	0.0931993715454244	0.0086861228564618	0.0018392702748632	0.0411734587570228	0.0481109612142633	0.0023146645889602	0.0016952537060161	-0.001232996353691	-0.0013390064231699	1.792938201326097e-06	1.52028000792425e-06	0.0001810609142203	6.708705348932964e-08	4.555168351103758e-15	3.278305463488882e-08	-9.788850260797508e-05	1.6121023428996523e-05	2.5988749399871816e-10	9.582159023968528e-09	0.0695741721000003	0.0690236255000005	0.0681092725000002	0.0668359326000003	0.0652103171000002	0.0632409943000002	0.0609383440000003	1
1.3782220025887774e-17	0.0005287819353164	-5.399948219358714e-17	2.58089266781321e-18	-1.2644375305565524e-17	1.2471882076438708e-17	5.86488745641133e-17	1.4834844171402573e-17	0.0577126963154202	0.0320834889411971	0.0010293502626398	0.0033307553159957	-0.086726910041164	-0.1296136244742314	0.0167996916493469	0.0075215569252879	-0.0291674420088621	-0.0703409007658846	0.0049478423205559	0.0008507396733404	-0.0010094911017276	0.0002235052519632	4.99545975638612e-08	1.0190722842689348e-06	-7.51189989819394e-05	-0.0002561799132023	6.562814794491323e-08	5.6428638264612895e-09	0.0002359619845488	0.0003338504871567	1.1145614755025307e-07	5.567805814098909e-08	0.0695334541000003	0.0688612303000005	0.0677456671000002	0.0661939467000003	0.0642160592000003	0.0618247387000002	0.0590353808000003	1
-1.0919857478632163e-16	0.0015115741957586	-6.866124543160045e-17	2.6745299376642115e-17	-1.218794599809951e-17	2.343098726261712e-17	2.6293832094744405e-17	-1.2318539169339047e-17	0.0709887641647247	0.0132760678493043	0.0001762539775392	0.0050394046376347	0.022993497085225	0.1097204071263893	0.0120385677399806	0.000528700908208	0.0051814430823787	0.0343488850912411	0.0011798459070112	2.68473524160069e-05	-0.0016508779714304	-0.0006413868697028	4.113771167244708e-07	2.725398076280572e-06	-0.0003121431138583	-0.0002370241148762	5.618043096578336e-08	9.743332340603812e-08	0.000778242885149	0.0005422809006003	2.9406857537796866e-07	6.05661988084452e-07	0.0694886735000003	0.0686827420000005	0.0673464395000001	0.0654900851000003	0.0631280135000002	0.0602784648000002	0.0569634433000002	1
-1.9246697074096726e-16	0.0020792197593731	-4.361327681241286e-17	5.95639667578923e-18	9.868661323524773e-18	2.6870586319241485e-17	1.123632693274231e-17	-3.227230566578668e-18	0.0787657026614997	0.0077769384967752	6.048077238251166e-05	0.0062040359157597	-0.0620136191205196	-0.0850071162057446	0.0072262098056168	0.0038456889564247	-0.0057074449892904	-0.0108888880716687	0.0001185678834372	3.257492830575646e-05	-0.0009988598638091	0.0006520181076213	4.251276126861055e-07	9.977210274890732e-07	-0.0003114506491474	6.924647109621349e-07	4.792981024098311e-13	9.700150684009521e-08	0.0009018449681271	0.0001236020829779	1.5277474829643977e-08	8.133243463131232e-07	0.0694398329000004	0.0684882022000005	0.0669117996000002	0.0647250056000001	0.0619477689000002	0.0586054243000003	0.0547284617000004	1
-1.7159856223092976e-16	0.0019577662882322	-3.286241647952325e-17	2.0788653527226377e-17	-2.3007229985569506e-17	2.508669918394255e-17	2.9572922420788643e-18	-2.98841880739258e-17	0.0956587379212128	0.0168930352597128	0.0002853746402858	0.0091505941406791	-0.0491774145360316	0.0128362045844887	0.0001647681481347	0.0024184181004485	-0.0407911368639368	-0.0350836918746461	0.0012308654355552	0.0016639168466525	-0.0002020990652576	0.0007967607985512	6.348277701722708e-07	4.084403248195216e-08	-0.000555146228744	-0.0002436955795965	5.9387535241716696e-08	3.0818733506163e-07	0.0014444445896751	0.0005425996215479	2.944143493670196e-07	2.0864201721354664e-06	0.0693869351000004	0.0682776564000005	0.0664419760000001	0.0638994236000003	0.0606770492000004	0.0568091356000003	0.0523368332000002	1
